,old_name,strain,sample_title,organism,isolate,host,isolation_source,collection_date,year,county,province,host_tissue_sampled,country,status,clade,BioSample,BioProject,id,AssemblyAccession,BioSampleAccn,BioSampleId,SubmitterOrganization,geo_loc_name,region,species,ST
SRR12686512,,NZ_Z0061,,,,,,,,,,,New Zealand,,,SAMN16219078,PRJNA664415,,,,,,,Oceania,,
SRR12686513,,NZ_Z0060,,,,,,,,,,,New Zealand,,,SAMN16219077,PRJNA664415,,,,,,,Oceania,,
SRR12673053,,NZ_K0005,,,,,,,,,,,New Zealand,,,SAMN16213940,PRJNA664415,,,,,,,Oceania,,
SRR12673055,,NZ_K0003,,,,,,,,,,,New Zealand,,,SAMN16213938,PRJNA664415,,,,,,,Oceania,,
SRR12673056,,NZ_K0002,,,,,,,,,,,New Zealand,,,SAMN16213937,PRJNA664415,,,,,,,Oceania,,
SRR12673057,,NZ_K0001,,,,,,,,,,,New Zealand,,,SAMN16213936,PRJNA664415,,,,,,,Oceania,,
SRR12673059,,NZ_M0050,,,,,,,,,,,New Zealand,,,SAMN16213935,PRJNA664415,,,,,,,Oceania,,
SRR12673060,,NZ_M0049,,,,,,,,,,,New Zealand,,,SAMN16213934,PRJNA664415,,,,,,,Oceania,,
SRR12673061,,NZ_M0048,,,,,,,,,,,New Zealand,,,SAMN16213933,PRJNA664415,,,,,,,Oceania,,
SRR12673062,,NZ_M0047,,,,,,,,,,,New Zealand,,,SAMN16213932,PRJNA664415,,,,,,,Oceania,,
SRR12673063,,NZ_M0046,,,,,,,,,,,New Zealand,,,SAMN16213931,PRJNA664415,,,,,,,Oceania,,
SRR12673064,,NZ_M0045,,,,,,,,,,,New Zealand,,,SAMN16213930,PRJNA664415,,,,,,,Oceania,,
SRR12673065,,NZ_M0044,,,,,,,,,,,New Zealand,,,SAMN16213929,PRJNA664415,,,,,,,Oceania,,
SRR12673066,,NZ_M0043,,,,,,,,,,,New Zealand,,,SAMN16213928,PRJNA664415,,,,,,,Oceania,,
SRR12673072,,NZ_M0038,,,,,,,,,,,New Zealand,,,SAMN16213923,PRJNA664415,,,,,,,Oceania,,
SRR12673073,,NZ_M0037,,,,,,,,,,,New Zealand,,,SAMN16213922,PRJNA664415,,,,,,,Oceania,,
SRR12673074,,NZ_M0036,,,,,,,,,,,New Zealand,,,SAMN16213921,PRJNA664415,,,,,,,Oceania,,
SRR12673076,,NZ_M0034,,,,,,,,,,,New Zealand,,,SAMN16213919,PRJNA664415,,,,,,,Oceania,,
SRR12673077,,NZ_B0040,,,,,,,,,,,New Zealand,,,SAMN16213875,PRJNA664415,,,,,,,Oceania,,
SRR12673078,,NZ_B0039,,,,,,,,,,,New Zealand,,,SAMN16213874,PRJNA664415,,,,,,,Oceania,,
SRR12673079,,NZ_B0038,,,,,,,,,,,New Zealand,,,SAMN16213873,PRJNA664415,,,,,,,Oceania,,
SRR12673080,,NZ_B0037,,,,,,,,,,,New Zealand,,,SAMN16213872,PRJNA664415,,,,,,,Oceania,,
SRR12673081,,NZ_B0036,,,,,,,,,,,New Zealand,,,SAMN16213871,PRJNA664415,,,,,,,Oceania,,
SRR12673082,,NZ_B0035,,,,,,,,,,,New Zealand,,,SAMN16213870,PRJNA664415,,,,,,,Oceania,,
SRR12673084,,NZ_B0033,,,,,,,,,,,New Zealand,,,SAMN16213868,PRJNA664415,,,,,,,Oceania,,
SRR12673085,,NZ_B0032,,,,,,,,,,,New Zealand,,,SAMN16213867,PRJNA664415,,,,,,,Oceania,,
SRR12673087,,NZ_B0013,,,,,,,,,,,New Zealand,,,SAMN16213848,PRJNA664415,,,,,,,Oceania,,
SRR12673088,,NZ_B0030,,,,,,,,,,,New Zealand,,,SAMN16213865,PRJNA664415,,,,,,,Oceania,,
SRR12673089,,NZ_B0029,,,,,,,,,,,New Zealand,,,SAMN16213864,PRJNA664415,,,,,,,Oceania,,
SRR12673090,,NZ_B0028,,,,,,,,,,,New Zealand,,,SAMN16213863,PRJNA664415,,,,,,,Oceania,,
SRR12673092,,NZ_B0026,,,,,,,,,,,New Zealand,,,SAMN16213861,PRJNA664415,,,,,,,Oceania,,
SRR12673093,,NZ_SB055,,,,,,,,,,,New Zealand,,,SAMN16213994,PRJNA664415,,,,,,,Oceania,,
SRR12673094,,NZ_SB054,,,,,,,,,,,New Zealand,,,SAMN16213993,PRJNA664415,,,,,,,Oceania,,
SRR12673095,,NZ_SB053,,,,,,,,,,,New Zealand,,,SAMN16213992,PRJNA664415,,,,,,,Oceania,,
SRR12673096,,NZ_SB052,,,,,,,,,,,New Zealand,,,SAMN16213991,PRJNA664415,,,,,,,Oceania,,
SRR12673098,,NZ_S0054,,,,,,,,,,,New Zealand,,,SAMN16213989,PRJNA664415,,,,,,,Oceania,,
SRR12673099,,NZ_S0053,,,,,,,,,,,New Zealand,,,SAMN16213988,PRJNA664415,,,,,,,Oceania,,
SRR12673100,,NZ_S0052,,,,,,,,,,,New Zealand,,,SAMN16213987,PRJNA664415,,,,,,,Oceania,,
SRR12673102,,NZ_B0025,,,,,,,,,,,New Zealand,,,SAMN16213860,PRJNA664415,,,,,,,Oceania,,
SRR12673104,,NZ_K0049,,,,,,,,,,,New Zealand,,,SAMN16213984,PRJNA664415,,,,,,,Oceania,,
SRR12673110,,NZ_K0043,,,,,,,,,,,New Zealand,,,SAMN16213978,PRJNA664415,,,,,,,Oceania,,
SRR12673112,,NZ_K0041,,,,,,,,,,,New Zealand,,,SAMN16213976,PRJNA664415,,,,,,,Oceania,,
SRR12673114,,NZ_K0040,,,,,,,,,,,New Zealand,,,SAMN16213975,PRJNA664415,,,,,,,Oceania,,
SRR12673116,,NZ_K0038,,,,,,,,,,,New Zealand,,,SAMN16213973,PRJNA664415,,,,,,,Oceania,,
SRR12673117,,NZ_K0037,,,,,,,,,,,New Zealand,,,SAMN16213972,PRJNA664415,,,,,,,Oceania,,
SRR12673118,,NZ_K0036,,,,,,,,,,,New Zealand,,,SAMN16213971,PRJNA664415,,,,,,,Oceania,,
SRR12673119,,NZ_K0035,,,,,,,,,,,New Zealand,,,SAMN16213970,PRJNA664415,,,,,,,Oceania,,
SRR12673121,,NZ_K0033,,,,,,,,,,,New Zealand,,,SAMN16213968,PRJNA664415,,,,,,,Oceania,,
SRR12673122,,NZ_K0032,,,,,,,,,,,New Zealand,,,SAMN16213967,PRJNA664415,,,,,,,Oceania,,
SRR12673123,,NZ_K0031,,,,,,,,,,,New Zealand,,,SAMN16213966,PRJNA664415,,,,,,,Oceania,,
SRR12673124,,NZ_B0023,,,,,,,,,,,New Zealand,,,SAMN16213858,PRJNA664415,,,,,,,Oceania,,
SRR12673125,,NZ_K0030,,,,,,,,,,,New Zealand,,,SAMN16213965,PRJNA664415,,,,,,,Oceania,,
SRR12673126,,NZ_K0029,,,,,,,,,,,New Zealand,,,SAMN16213964,PRJNA664415,,,,,,,Oceania,,
SRR12673130,,NZ_K0025,,,,,,,,,,,New Zealand,,,SAMN16213960,PRJNA664415,,,,,,,Oceania,,
SRR12673131,,NZ_K0024,,,,,,,,,,,New Zealand,,,SAMN16213959,PRJNA664415,,,,,,,Oceania,,
SRR12673132,,NZ_K0023,,,,,,,,,,,New Zealand,,,SAMN16213958,PRJNA664415,,,,,,,Oceania,,
SRR12673133,,NZ_K0022,,,,,,,,,,,New Zealand,,,SAMN16213957,PRJNA664415,,,,,,,Oceania,,
SRR12673135,,NZ_B0022,,,,,,,,,,,New Zealand,,,SAMN16213857,PRJNA664415,,,,,,,Oceania,,
SRR12673136,,NZ_K0020,,,,,,,,,,,New Zealand,,,SAMN16213955,PRJNA664415,,,,,,,Oceania,,
SRR12673140,,NZ_K0016,,,,,,,,,,,New Zealand,,,SAMN16213951,PRJNA664415,,,,,,,Oceania,,
SRR12673142,,NZ_K0014,,,,,,,,,,,New Zealand,,,SAMN16213949,PRJNA664415,,,,,,,Oceania,,
SRR12673143,,NZ_K0013,,,,,,,,,,,New Zealand,,,SAMN16213948,PRJNA664415,,,,,,,Oceania,,
SRR12673144,,NZ_K0012,,,,,,,,,,,New Zealand,,,SAMN16213947,PRJNA664415,,,,,,,Oceania,,
SRR12673145,,NZ_K0011,,,,,,,,,,,New Zealand,,,SAMN16213946,PRJNA664415,,,,,,,Oceania,,
SRR12673147,,NZ_B0012,,,,,,,,,,,New Zealand,,,SAMN16213847,PRJNA664415,,,,,,,Oceania,,
SRR12673148,,NZ_B0011,,,,,,,,,,,New Zealand,,,SAMN16213846,PRJNA664415,,,,,,,Oceania,,
SRR12673149,,NZ_M0033,,,,,,,,,,,New Zealand,,,SAMN16213918,PRJNA664415,,,,,,,Oceania,,
SRR12673151,,NZ_M0031,,,,,,,,,,,New Zealand,,,SAMN16213916,PRJNA664415,,,,,,,Oceania,,
SRR12673152,,NZ_B0018,,,,,,,,,,,New Zealand,,,SAMN16213853,PRJNA664415,,,,,,,Oceania,,
SRR12673153,,NZ_M0030,,,,,,,,,,,New Zealand,,,SAMN16213915,PRJNA664415,,,,,,,Oceania,,
SRR12673154,,NZ_M0029,,,,,,,,,,,New Zealand,,,SAMN16213914,PRJNA664415,,,,,,,Oceania,,
SRR12673155,,NZ_M0028,,,,,,,,,,,New Zealand,,,SAMN16213913,PRJNA664415,,,,,,,Oceania,,
SRR12673157,,NZ_M0026,,,,,,,,,,,New Zealand,,,SAMN16213911,PRJNA664415,,,,,,,Oceania,,
SRR12673162,,NZ_M0021,,,,,,,,,,,New Zealand,,,SAMN16213906,PRJNA664415,,,,,,,Oceania,,
SRR12673163,,NZ_B0017,,,,,,,,,,,New Zealand,,,SAMN16213852,PRJNA664415,,,,,,,Oceania,,
SRR12673164,,NZ_M0020,,,,,,,,,,,New Zealand,,,SAMN16213905,PRJNA664415,,,,,,,Oceania,,
SRR12673167,,NZ_M0017,,,,,,,,,,,New Zealand,,,SAMN16213902,PRJNA664415,,,,,,,Oceania,,
SRR12673168,,NZ_M0016,,,,,,,,,,,New Zealand,,,SAMN16213901,PRJNA664415,,,,,,,Oceania,,
SRR12673169,,NZ_M0015,,,,,,,,,,,New Zealand,,,SAMN16213900,PRJNA664415,,,,,,,Oceania,,
SRR12673171,,NZ_M0013,,,,,,,,,,,New Zealand,,,SAMN16213898,PRJNA664415,,,,,,,Oceania,,
SRR12673173,,NZ_K0010,,,,,,,,,,,New Zealand,,,SAMN16213945,PRJNA664415,,,,,,,Oceania,,
SRR12673180,,NZ_M0010,,,,,,,,,,,New Zealand,,,SAMN16213895,PRJNA664415,,,,,,,Oceania,,
SRR12673181,,NZ_M0009,,,,,,,,,,,New Zealand,,,SAMN16213894,PRJNA664415,,,,,,,Oceania,,
SRR12673182,,NZ_M0008,,,,,,,,,,,New Zealand,,,SAMN16213893,PRJNA664415,,,,,,,Oceania,,
SRR12673184,,NZ_M0006,,,,,,,,,,,New Zealand,,,SAMN16213891,PRJNA664415,,,,,,,Oceania,,
SRR12673185,,NZ_M0005,,,,,,,,,,,New Zealand,,,SAMN16213890,PRJNA664415,,,,,,,Oceania,,
SRR12673186,,NZ_M0004,,,,,,,,,,,New Zealand,,,SAMN16213889,PRJNA664415,,,,,,,Oceania,,
SRR12673187,,NZ_M0003,,,,,,,,,,,New Zealand,,,SAMN16213888,PRJNA664415,,,,,,,Oceania,,
SRR12673188,,NZ_M0002,,,,,,,,,,,New Zealand,,,SAMN16213887,PRJNA664415,,,,,,,Oceania,,
SRR12673192,,NZ_B0049,,,,,,,,,,,New Zealand,,,SAMN16213884,PRJNA664415,,,,,,,Oceania,,
SRR12673194,,NZ_B0047,,,,,,,,,,,New Zealand,,,SAMN16213882,PRJNA664415,,,,,,,Oceania,,
SRR12673198,,NZ_B0043,,,,,,,,,,,New Zealand,,,SAMN16213878,PRJNA664415,,,,,,,Oceania,,
SRR12673199,,NZ_B0042,,,,,,,,,,,New Zealand,,,SAMN16213877,PRJNA664415,,,,,,,Oceania,,
SRR12673777,,NZ_P0005,,,,,,,,,,,New Zealand,,,SAMN16218698,PRJNA664415,,,,,,,Oceania,,
SRR12673778,,NZ_P0004,,,,,,,,,,,New Zealand,,,SAMN16218697,PRJNA664415,,,,,,,Oceania,,
SRR12673779,,NZ_P0003,,,,,,,,,,,New Zealand,,,SAMN16218696,PRJNA664415,,,,,,,Oceania,,
SRR12673780,,NZ_P0002,,,,,,,,,,,New Zealand,,,SAMN16218695,PRJNA664415,,,,,,,Oceania,,
SRR12673781,,NZ_P0001,,,,,,,,,,,New Zealand,,,SAMN16218694,PRJNA664415,,,,,,,Oceania,,
SRR12673782,,NZ_M0114,,,,,,,,,,,New Zealand,,,SAMN16218693,PRJNA664415,,,,,,,Oceania,,
SRR12673783,,NZ_SB057,,,,,,,,,,,New Zealand,,,SAMN16218612,PRJNA664415,,,,,,,Oceania,,
SRR12673787,,NZ_M0110,,,,,,,,,,,New Zealand,,,SAMN16218689,PRJNA664415,,,,,,,Oceania,,
SRR12673788,,NZ_M0109,,,,,,,,,,,New Zealand,,,SAMN16218688,PRJNA664415,,,,,,,Oceania,,
SRR12673789,,NZ_M0108,,,,,,,,,,,New Zealand,,,SAMN16218687,PRJNA664415,,,,,,,Oceania,,
SRR12673790,,NZ_M0107,,,,,,,,,,,New Zealand,,,SAMN16218686,PRJNA664415,,,,,,,Oceania,,
SRR12673791,,NZ_M0106,,,,,,,,,,,New Zealand,,,SAMN16218685,PRJNA664415,,,,,,,Oceania,,
SRR12673792,,NZ_M0105,,,,,,,,,,,New Zealand,,,SAMN16218684,PRJNA664415,,,,,,,Oceania,,
SRR12673793,,NZ_M0104,,,,,,,,,,,New Zealand,,,SAMN16218683,PRJNA664415,,,,,,,Oceania,,
SRR12673797,,NZ_M0101,,,,,,,,,,,New Zealand,,,SAMN16218680,PRJNA664415,,,,,,,Oceania,,
SRR12673798,,NZ_M0100,,,,,,,,,,,New Zealand,,,SAMN16218679,PRJNA664415,,,,,,,Oceania,,
SRR12673799,,NZ_M0099,,,,,,,,,,,New Zealand,,,SAMN16218678,PRJNA664415,,,,,,,Oceania,,
SRR12673800,,NZ_M0098,,,,,,,,,,,New Zealand,,,SAMN16218677,PRJNA664415,,,,,,,Oceania,,
SRR12673808,,NZ_M0091,,,,,,,,,,,New Zealand,,,SAMN16218670,PRJNA664415,,,,,,,Oceania,,
SRR12673809,,NZ_M0090,,,,,,,,,,,New Zealand,,,SAMN16218669,PRJNA664415,,,,,,,Oceania,,
SRR12673810,,NZ_M0089,,,,,,,,,,,New Zealand,,,SAMN16218668,PRJNA664415,,,,,,,Oceania,,
SRR12673815,,NZ_M0084,,,,,,,,,,,New Zealand,,,SAMN16218663,PRJNA664415,,,,,,,Oceania,,
SRR12673816,,NZ_SD054,,,,,,,,,,,New Zealand,,,SAMN16218609,PRJNA664415,,,,,,,Oceania,,
SRR12673817,,NZ_M0083,,,,,,,,,,,New Zealand,,,SAMN16218662,PRJNA664415,,,,,,,Oceania,,
SRR12673825,,NZ_M0075,,,,,,,,,,,New Zealand,,,SAMN16218654,PRJNA664415,,,,,,,Oceania,,
SRR12673826,,NZ_M0074,,,,,,,,,,,New Zealand,,,SAMN16218653,PRJNA664415,,,,,,,Oceania,,
SRR12673827,,NZ_S0057,,,,,,,,,,,New Zealand,,,SAMN16218608,PRJNA664415,,,,,,,Oceania,,
SRR12673828,,NZ_M0073,,,,,,,,,,,New Zealand,,,SAMN16218652,PRJNA664415,,,,,,,Oceania,,
SRR12673829,,NZ_M0072,,,,,,,,,,,New Zealand,,,SAMN16218651,PRJNA664415,,,,,,,Oceania,,
SRR12673830,,NZ_M0071,,,,,,,,,,,New Zealand,,,SAMN16218650,PRJNA664415,,,,,,,Oceania,,
SRR12673831,,NZ_M0070,,,,,,,,,,,New Zealand,,,SAMN16218649,PRJNA664415,,,,,,,Oceania,,
SRR12673832,,NZ_M0069,,,,,,,,,,,New Zealand,,,SAMN16218648,PRJNA664415,,,,,,,Oceania,,
SRR12673833,,NZ_M0068,,,,,,,,,,,New Zealand,,,SAMN16218647,PRJNA664415,,,,,,,Oceania,,
SRR12673834,,NZ_M0067,,,,,,,,,,,New Zealand,,,SAMN16218646,PRJNA664415,,,,,,,Oceania,,
SRR12673835,,NZ_M0066,,,,,,,,,,,New Zealand,,,SAMN16218645,PRJNA664415,,,,,,,Oceania,,
SRR12673870,,NZ_S0155,,,,,,,,,,,New Zealand,,,SAMN16218748,PRJNA664415,,,,,,,Oceania,,
SRR12673871,,NZ_S0154,,,,,,,,,,,New Zealand,,,SAMN16218747,PRJNA664415,,,,,,,Oceania,,
SRR12673872,,NZ_S0153,,,,,,,,,,,New Zealand,,,SAMN16218746,PRJNA664415,,,,,,,Oceania,,
SRR12673873,,NZ_S0152,,,,,,,,,,,New Zealand,,,SAMN16218745,PRJNA664415,,,,,,,Oceania,,
SRR12673874,,NZ_S0151,,,,,,,,,,,New Zealand,,,SAMN16218744,PRJNA664415,,,,,,,Oceania,,
SRR12673878,,NZ_P0048,,,,,,,,,,,New Zealand,,,SAMN16218741,PRJNA664415,,,,,,,Oceania,,
SRR12673879,,NZ_P0047,,,,,,,,,,,New Zealand,,,SAMN16218740,PRJNA664415,,,,,,,Oceania,,
SRR12673880,,NZ_P0046,,,,,,,,,,,New Zealand,,,SAMN16218739,PRJNA664415,,,,,,,Oceania,,
SRR12673881,,NZ_P0045,,,,,,,,,,,New Zealand,,,SAMN16218738,PRJNA664415,,,,,,,Oceania,,
SRR12673882,,NZ_P0044,,,,,,,,,,,New Zealand,,,SAMN16218737,PRJNA664415,,,,,,,Oceania,,
SRR12673883,,NZ_P0043,,,,,,,,,,,New Zealand,,,SAMN16218736,PRJNA664415,,,,,,,Oceania,,
SRR12673884,,NZ_P0042,,,,,,,,,,,New Zealand,,,SAMN16218735,PRJNA664415,,,,,,,Oceania,,
SRR12673885,,NZ_P0041,,,,,,,,,,,New Zealand,,,SAMN16218734,PRJNA664415,,,,,,,Oceania,,
SRR12673886,,NZ_P0040,,,,,,,,,,,New Zealand,,,SAMN16218733,PRJNA664415,,,,,,,Oceania,,
SRR12673900,,NZ_P0028,,,,,,,,,,,New Zealand,,,SAMN16218721,PRJNA664415,,,,,,,Oceania,,
SRR12673901,,NZ_P0027,,,,,,,,,,,New Zealand,,,SAMN16218720,PRJNA664415,,,,,,,Oceania,,
SRR12673902,,NZ_P0026,,,,,,,,,,,New Zealand,,,SAMN16218719,PRJNA664415,,,,,,,Oceania,,
SRR12673903,,NZ_P0025,,,,,,,,,,,New Zealand,,,SAMN16218718,PRJNA664415,,,,,,,Oceania,,
SRR12673913,,NZ_P0016,,,,,,,,,,,New Zealand,,,SAMN16218709,PRJNA664415,,,,,,,Oceania,,
SRR12673914,,NZ_P0015,,,,,,,,,,,New Zealand,,,SAMN16218708,PRJNA664415,,,,,,,Oceania,,
SRR12673915,,NZ_P0014,,,,,,,,,,,New Zealand,,,SAMN16218707,PRJNA664415,,,,,,,Oceania,,
SRR12673916,,NZ_P0013,,,,,,,,,,,New Zealand,,,SAMN16218706,PRJNA664415,,,,,,,Oceania,,
SRR12673917,,NZ_P0012,,,,,,,,,,,New Zealand,,,SAMN16218705,PRJNA664415,,,,,,,Oceania,,
SRR12673918,,NZ_P0011,,,,,,,,,,,New Zealand,,,SAMN16218704,PRJNA664415,,,,,,,Oceania,,
SRR12673919,,NZ_P0010,,,,,,,,,,,New Zealand,,,SAMN16218703,PRJNA664415,,,,,,,Oceania,,
SRR12673920,,NZ_S0058,,,,,,,,,,,New Zealand,,,SAMN16218613,PRJNA664415,,,,,,,Oceania,,
SRR12673921,,NZ_SC053,,,,,,,,,,,New Zealand,,,SAMN16218604,PRJNA664415,,,,,,,Oceania,,
SRR12673922,,NZ_S0056,,,,,,,,,,,New Zealand,,,SAMN16218603,PRJNA664415,,,,,,,Oceania,,
SRR12674050,,NZ_E0008,,,,,,,,,,,New Zealand,,,SAMN16219023,PRJNA664415,,,,,,,Oceania,,
SRR12674051,,NZ_E0007,,,,,,,,,,,New Zealand,,,SAMN16219022,PRJNA664415,,,,,,,Oceania,,
SRR12674052,,NZ_E0006,,,,,,,,,,,New Zealand,,,SAMN16219021,PRJNA664415,,,,,,,Oceania,,
SRR12674053,,NZ_E0005,,,,,,,,,,,New Zealand,,,SAMN16219020,PRJNA664415,,,,,,,Oceania,,
SRR12674054,,NZ_E0004,,,,,,,,,,,New Zealand,,,SAMN16219019,PRJNA664415,,,,,,,Oceania,,
SRR12674055,,NZ_E0003,,,,,,,,,,,New Zealand,,,SAMN16219018,PRJNA664415,,,,,,,Oceania,,
SRR12674056,,NZ_E0002,,,,,,,,,,,New Zealand,,,SAMN16219017,PRJNA664415,,,,,,,Oceania,,
SRR12674057,,NZ_E0001,,,,,,,,,,,New Zealand,,,SAMN16219016,PRJNA664415,,,,,,,Oceania,,
SRR12674058,,NZ_LL050,,,,,,,,,,,New Zealand,,,SAMN16219015,PRJNA664415,,,,,,,Oceania,,
SRR12674059,,NZ_S0169,,,,,,,,,,,New Zealand,,,SAMN16218934,PRJNA664415,,,,,,,Oceania,,
SRR12674060,,NZ_LL049,,,,,,,,,,,New Zealand,,,SAMN16219014,PRJNA664415,,,,,,,Oceania,,
SRR12674061,,NZ_LL048,,,,,,,,,,,New Zealand,,,SAMN16219013,PRJNA664415,,,,,,,Oceania,,
SRR12674066,,NZ_LL043,,,,,,,,,,,New Zealand,,,SAMN16219008,PRJNA664415,,,,,,,Oceania,,
SRR12674067,,NZ_LL042,,,,,,,,,,,New Zealand,,,SAMN16219007,PRJNA664415,,,,,,,Oceania,,
SRR12674068,,NZ_LL041,,,,,,,,,,,New Zealand,,,SAMN16219006,PRJNA664415,,,,,,,Oceania,,
SRR12674069,,NZ_LL040,,,,,,,,,,,New Zealand,,,SAMN16219005,PRJNA664415,,,,,,,Oceania,,
SRR12674070,,NZ_S0168,,,,,,,,,,,New Zealand,,,SAMN16218933,PRJNA664415,,,,,,,Oceania,,
SRR12674071,,NZ_LL039,,,,,,,,,,,New Zealand,,,SAMN16219004,PRJNA664415,,,,,,,Oceania,,
SRR12674072,,NZ_LL038,,,,,,,,,,,New Zealand,,,SAMN16219003,PRJNA664415,,,,,,,Oceania,,
SRR12674073,,NZ_LL037,,,,,,,,,,,New Zealand,,,SAMN16219002,PRJNA664415,,,,,,,Oceania,,
SRR12674074,,NZ_LL036,,,,,,,,,,,New Zealand,,,SAMN16219001,PRJNA664415,,,,,,,Oceania,,
SRR12674075,,NZ_LL035,,,,,,,,,,,New Zealand,,,SAMN16219000,PRJNA664415,,,,,,,Oceania,,
SRR12674076,,NZ_LL034,,,,,,,,,,,New Zealand,,,SAMN16218999,PRJNA664415,,,,,,,Oceania,,
SRR12674077,,NZ_LL033,,,,,,,,,,,New Zealand,,,SAMN16218998,PRJNA664415,,,,,,,Oceania,,
SRR12674078,,NZ_LL032,,,,,,,,,,,New Zealand,,,SAMN16218997,PRJNA664415,,,,,,,Oceania,,
SRR12674079,,NZ_LL031,,,,,,,,,,,New Zealand,,,SAMN16218996,PRJNA664415,,,,,,,Oceania,,
SRR12674112,,NZ_LL001,,,,,,,,,,,New Zealand,,,SAMN16218966,PRJNA664415,,,,,,,Oceania,,
SRR12674113,,NZ_S0200,,,,,,,,,,,New Zealand,,,SAMN16218965,PRJNA664415,,,,,,,Oceania,,
SRR12674114,,NZ_S0164,,,,,,,,,,,New Zealand,,,SAMN16218929,PRJNA664415,,,,,,,Oceania,,
SRR12674115,,NZ_S0199,,,,,,,,,,,New Zealand,,,SAMN16218964,PRJNA664415,,,,,,,Oceania,,
SRR12674140,,NZ_S0176,,,,,,,,,,,New Zealand,,,SAMN16218941,PRJNA664415,,,,,,,Oceania,,
SRR12674141,,NZ_S0175,,,,,,,,,,,New Zealand,,,SAMN16218940,PRJNA664415,,,,,,,Oceania,,
SRR12674142,,NZ_Z0059,,,,,,,,,,,New Zealand,,,SAMN16219074,PRJNA664415,,,,,,,Oceania,,
SRR12674143,,NZ_Z0058,,,,,,,,,,,New Zealand,,,SAMN16219073,PRJNA664415,,,,,,,Oceania,,
SRR12674144,,NZ_Z0057,,,,,,,,,,,New Zealand,,,SAMN16219072,PRJNA664415,,,,,,,Oceania,,
SRR12674145,,NZ_Z0056,,,,,,,,,,,New Zealand,,,SAMN16219071,PRJNA664415,,,,,,,Oceania,,
SRR12674146,,NZ_Z0055,,,,,,,,,,,New Zealand,,,SAMN16219070,PRJNA664415,,,,,,,Oceania,,
SRR12674147,,NZ_Z0054,,,,,,,,,,,New Zealand,,,SAMN16219069,PRJNA664415,,,,,,,Oceania,,
SRR12674148,,NZ_Z0053,,,,,,,,,,,New Zealand,,,SAMN16219068,PRJNA664415,,,,,,,Oceania,,
SRR12674149,,NZ_Z0052,,,,,,,,,,,New Zealand,,,SAMN16219067,PRJNA664415,,,,,,,Oceania,,
SRR12674150,,NZ_Z0051,,,,,,,,,,,New Zealand,,,SAMN16219066,PRJNA664415,,,,,,,Oceania,,
SRR12674151,,NZ_E0050,,,,,,,,,,,New Zealand,,,SAMN16219065,PRJNA664415,,,,,,,Oceania,,
SRR12674152,,NZ_S0174,,,,,,,,,,,New Zealand,,,SAMN16218939,PRJNA664415,,,,,,,Oceania,,
SRR12674153,,NZ_E0049,,,,,,,,,,,New Zealand,,,SAMN16219064,PRJNA664415,,,,,,,Oceania,,
SRR12674154,,NZ_E0048,,,,,,,,,,,New Zealand,,,SAMN16219063,PRJNA664415,,,,,,,Oceania,,
SRR12674155,,NZ_E0047,,,,,,,,,,,New Zealand,,,SAMN16219062,PRJNA664415,,,,,,,Oceania,,
SRR12674156,,NZ_E0046,,,,,,,,,,,New Zealand,,,SAMN16219061,PRJNA664415,,,,,,,Oceania,,
SRR12674157,,NZ_E0045,,,,,,,,,,,New Zealand,,,SAMN16219060,PRJNA664415,,,,,,,Oceania,,
SRR12674158,,NZ_E0044,,,,,,,,,,,New Zealand,,,SAMN16219059,PRJNA664415,,,,,,,Oceania,,
SRR12674159,,NZ_E0043,,,,,,,,,,,New Zealand,,,SAMN16219058,PRJNA664415,,,,,,,Oceania,,
SRR12674160,,NZ_E0042,,,,,,,,,,,New Zealand,,,SAMN16219057,PRJNA664415,,,,,,,Oceania,,
SRR12674161,,NZ_E0041,,,,,,,,,,,New Zealand,,,SAMN16219056,PRJNA664415,,,,,,,Oceania,,
SRR12674177,,NZ_E0027,,,,,,,,,,,New Zealand,,,SAMN16219042,PRJNA664415,,,,,,,Oceania,,
SRR12674178,,NZ_E0026,,,,,,,,,,,New Zealand,,,SAMN16219041,PRJNA664415,,,,,,,Oceania,,
SRR12674179,,NZ_E0025,,,,,,,,,,,New Zealand,,,SAMN16219040,PRJNA664415,,,,,,,Oceania,,
SRR12674180,,NZ_E0024,,,,,,,,,,,New Zealand,,,SAMN16219039,PRJNA664415,,,,,,,Oceania,,
SRR12674181,,NZ_E0023,,,,,,,,,,,New Zealand,,,SAMN16219038,PRJNA664415,,,,,,,Oceania,,
SRR12674182,,NZ_E0022,,,,,,,,,,,New Zealand,,,SAMN16219037,PRJNA664415,,,,,,,Oceania,,
SRR12674183,,NZ_E0021,,,,,,,,,,,New Zealand,,,SAMN16219036,PRJNA664415,,,,,,,Oceania,,
SRR12674184,,NZ_E0020,,,,,,,,,,,New Zealand,,,SAMN16219035,PRJNA664415,,,,,,,Oceania,,
SRR12674194,,NZ_E0011,,,,,,,,,,,New Zealand,,,SAMN16219026,PRJNA664415,,,,,,,Oceania,,
SRR12674195,,NZ_E0010,,,,,,,,,,,New Zealand,,,SAMN16219025,PRJNA664415,,,,,,,Oceania,,
SRR12674196,,NZ_S0170,,,,,,,,,,,New Zealand,,,SAMN16218935,PRJNA664415,,,,,,,Oceania,,
SRR12674197,,NZ_S0161,,,,,,,,,,,New Zealand,,,SAMN16218926,PRJNA664415,,,,,,,Oceania,,
